Flag,O0,O1,O2,O3,Always on/off (1/0) in train18a,Description,XOR,Include,Reason,Reason code,Dependent on,In arm-none-eabi-gcc 4.9.3,why missing,,O0,O1,O2,O3,,Always On,Always Off
-fno-threadsafe-statics,0,0,0,0,,Not supported on JD machine,,N,C++,N/A,,TRUE,,,,,,,,,
-ftoplevel-reorder,1,1,1,1,1,,,Y,,,-fno-toplevel-reorder implies -fno-section-anchors,TRUE,,,,,,,,,
-ftrapping-math,1,1,1,1,,,,N,standards,S,,TRUE,,,,,,,,,
-ftrapv,0,0,0,0,,,,N,exceptions,E,,TRUE,,,,,,,,,
-ftree-bit-ccp,0,1,1,1,0,,,Y,,,,TRUE,,,,,,,,,
-ftree-builtin-call-dce,0,0,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-ccp,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-ch,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-coalesce-inlined-vars,0,0,0,0,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-coalesce-vars,1,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-copy-prop,0,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-copyrename,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-cselim,1,1,1,1,,,,Y,no doc,,,TRUE,,,,,,,,,
-ftree-dce,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-dominator-opts,0,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-dse,0,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-forwprop,1,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-fre,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-loop-distribute-patterns,0,0,0,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-loop-distribution,0,0,0,0,,,,Y,,,,TRUE,,,,,,,,,
-ftree-loop-if-convert,1,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-loop-if-convert-stores,0,0,0,0,,,,N,unsafe for multi-threaded (turns cond. stores into uncond.),X,,TRUE,,,,,,,,,
-ftree-loop-im,1,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-loop-ivcanon,1,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-loop-optimize,1,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-lrs,0,0,0,0,,,,N,"no doc. https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CCMQFjAA&url=http%3A%2F%2Fgcc.gnu.org%2Fml%2Fgcc-patches%2F2007-02%2Fmsg01517.html&ei=yco-VKnpG8bg7QaEloC4CQ&usg=AFQjCNHY3FQ-rF4hY9k6uZjwKynTABdLqg&bvm=bv.77412846,d.ZGU",N,,TRUE,,,,,,,,,
-ftree-partial-pre,0,0,0,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-phiprop,1,1,1,1,0,,,Y,,,,TRUE,,,,,,,,,
-ftree-pre,0,0,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-pta,1,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-reassoc,1,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-scev-cprop,1,1,1,1,,,,Y,no doc,,,TRUE,,,,,,,,,
-ftree-sink,0,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-slp-vectorize,1,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-slsr,0,1,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-sra,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-switch-conversion,0,0,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-tail-merge,0,0,1,1,1,,,Y,,,,TRUE,,,,,,,,,
-ftree-ter,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-vect-loop-version,1,1,1,1,,,,Y,no doc,,,FALSE,???,,,,,,,,
-ftree-vectorize,0,0,0,1,,,,Y,,,,TRUE,,,,,,,,,
-ftree-vrp,0,0,1,1,,,,Y,,,,TRUE,,,,,,,,,
-funit-at-a-time,1,1,1,1,,,,N,deprecated,N,,TRUE,,,,,,,,,
